4.0000000000e-02	7.5200000000e-03	5.0000000000e-04	1.5600000000e-05
6.0000000000e-02	7.5600000000e-03	5.0000000000e-04	1.5600000000e-05
8.0000000000e-02	7.4200000000e-03	5.0000000000e-04	1.5400000000e-05
1.0000000000e-01	7.2800000000e-03	5.0000000000e-04	1.5200000000e-05
1.2000000000e-01	7.0800000000e-03	5.0000000000e-04	1.4800000000e-05
1.4000000000e-01	6.8300000000e-03	5.0000000000e-04	1.4400000000e-05
1.6000000000e-01	6.5700000000e-03	5.0000000000e-04	1.4000000000e-05
1.8000000000e-01	6.2400000000e-03	5.0000000000e-04	1.3400000000e-05
2.0000000000e-01	5.9000000000e-03	5.0000000000e-04	1.2800000000e-05
2.2000000000e-01	5.5800000000e-03	5.0000000000e-04	1.2300000000e-05
2.4000000000e-01	5.1000000000e-03	5.0000000000e-04	1.1400000000e-05
2.6200000000e-01	4.6800000000e-03	5.0000000000e-04	1.0700000000e-05
2.8100000000e-01	4.0500000000e-03	5.0000000000e-04	9.5800000000e-06
3.0000000000e-01	3.4400000000e-03	5.0000000000e-04	8.4600000000e-06
3.2000000000e-01	2.6300000000e-03	5.0000000000e-04	6.9400000000e-06
3.4000000000e-01	2.1500000000e-03	5.0000000000e-04	5.9800000000e-06
