3.6000000000e+00	1.7800000000e-07	5.0000000000e-01	4.6900000000e-07
2.0900000000e+02	1.2400000000e-05	5.0000000000e-01	5.1700000000e-07
4.0000000000e+02	2.3500000000e-05	5.0000000000e-01	5.1400000000e-07
5.9900000000e+02	3.4600000000e-05	1.0000000000e+00	5.3900000000e-07
8.0900000000e+02	4.8500000000e-05	1.0000000000e+00	5.4900000000e-07
9.7200000000e+02	5.4000000000e-05	1.0000000000e+00	5.2700000000e-07
1.1900000000e+03	6.3900000000e-05	1.0000000000e+00	5.1700000000e-07
1.4100000000e+03	7.6100000000e-05	1.0000000000e+00	5.1800000000e-07
1.6000000000e+03	8.6000000000e-05	1.0000000000e+00	5.1700000000e-07
1.8100000000e+03	9.3900000000e-05	1.0000000000e+00	5.0800000000e-07
2.0100000000e+03	1.0500000000e-04	1.0000000000e+00	5.1000000000e-07
2.2100000000e+03	1.1700000000e-04	1.0000000000e+00	5.1300000000e-07
2.4100000000e+03	1.2100000000e-04	1.0000000000e+00	4.9900000000e-07
2.6000000000e+03	1.3200000000e-04	1.0000000000e+00	5.0100000000e-07
2.8000000000e+03	1.5100000000e-04	1.0000000000e+00	5.1800000000e-07
3.1000000000e+03	1.6300000000e-04	1.0000000000e+00	5.1200000000e-07
